iter	Passed	Remaining
926	6734	530
927	6740	522
928	6747	515
929	6753	508
930	6760	501
931	6767	493
932	6774	486
933	6780	479
934	6787	471
935	6795	464
936	6801	457
937	6811	450
938	6816	442
939	6823	435
940	6829	428
941	6835	420
942	6843	413
943	6848	406
944	6854	398
945	6860	391
946	6866	384
947	6872	376
948	6878	369
949	6884	362
950	6889	354
951	6895	347
952	6901	340
953	6907	333
954	6914	325
955	6919	318
956	6925	311
957	6931	303
958	6937	296
959	6943	289
960	6949	282
961	6955	274
962	6960	267
963	6966	260
964	6971	252
965	6977	245
966	6982	238
967	6987	230
968	6993	223
969	6998	216
970	7004	209
971	7009	201
972	7015	194
973	7021	187
974	7027	180
975	7032	172
976	7038	165
977	7044	158
978	7050	151
979	7055	143
980	7061	136
981	7066	129
982	7072	122
983	7078	115
984	7083	107
985	7089	100
986	7095	93
987	7101	86
988	7107	79
989	7113	71
990	7119	64
991	7125	57
992	7131	50
993	7137	43
994	7143	35
995	7149	28
996	7155	21
997	7160	14
998	7166	7
999	7172	0
