Model,Accuracy,CV Accuracy,CV Std,Precision,Recall,F1-Score,Train Time (s),Inference Time (s),Saved_at,Training dataset name,ROC-AUC,Num samples in dataset,Note,Ablation Group,Ablation Name,Ablation Mode,Parent Feature Dataset
Ablation meta model (Logistic Regression),0.9884651356125947,0.9884651564651564,0.0018986723586669,0.9841513292433538,0.9968928016571724,0.9904810908155388,0.2,0.002,2026-06-03 20-30-12,data/results/stacker_training_features_4signal.csv,0.9932534494003072,9623.0,meta_model_4sig_intrinsic_and_tranco_lr; sklearn v1.8.0,4sig,intrinsic_and_tranco,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Gradient Boosting),0.9922061727112128,0.9922065502065502,0.0017058728306229,0.9907312049433572,0.9963749352667012,0.9935450555125226,6.266,0.01,2026-06-03 20-30-18,data/results/stacker_training_features_4signal.csv,0.99700182853259,9623.0,meta_model_4sig_intrinsic_and_tranco_gb; sklearn v1.8.0,4sig,intrinsic_and_tranco,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Support Vector Machine),0.9895043125844332,0.9892965412965412,0.0017566932732823,0.984508001361934,0.9982737786984291,0.9913431044827292,7.571,0.225,2026-06-03 20-30-26,data/results/stacker_training_features_4signal.csv,0.9896657485693322,9623.0,meta_model_4sig_intrinsic_and_tranco_svm; sklearn v1.8.0,4sig,intrinsic_and_tranco,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Multi-layer Perceptron),0.9884651356125947,0.9884652644652644,0.0015541036015329,0.9831632653061224,0.9979285344381148,0.990490876381393,11.046,0.005,2026-06-03 20-30-37,data/results/stacker_training_features_4signal.csv,0.9943535887149296,9623.0,meta_model_4sig_intrinsic_and_tranco_mlp; sklearn v1.8.0,4sig,intrinsic_and_tranco,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Decision Tree),0.9880494648238596,0.988049842049842,0.002152665486488,0.9903281519861832,0.989815294320732,0.9900716567383234,0.251,0.002,2026-06-03 20-30-37,data/results/stacker_training_features_4signal.csv,0.9875969421995304,9623.0,meta_model_4sig_intrinsic_and_tranco_dt; sklearn v1.8.0,4sig,intrinsic_and_tranco,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Logistic Regression),0.9846201808167931,0.9846204606204608,0.0019023812172456,0.97540845544888,0.999654755739686,0.987382779198636,0.202,0.002,2026-06-03 20-30-37,data/results/stacker_training_features_4signal.csv,0.9779313198291448,9623.0,meta_model_4sig_extrinsic_lr; sklearn v1.8.0,4sig,extrinsic,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Gradient Boosting),0.9898160656759846,0.9898159678159676,0.0011672294431446,0.9856728637216442,0.9975832901778008,0.99159231297186,3.251,0.009,2026-06-03 20-30-41,data/results/stacker_training_features_4signal.csv,0.9964969200696436,9623.0,meta_model_4sig_extrinsic_gb; sklearn v1.8.0,4sig,extrinsic,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Support Vector Machine),0.986490699366102,0.9864908604908604,0.0021029247511798,0.9798339264531436,0.998101156568272,0.9888831879596374,6.732,0.247,2026-06-03 20-30-48,data/results/stacker_training_features_4signal.csv,0.9915665300563072,9623.0,meta_model_4sig_extrinsic_svm; sklearn v1.8.0,4sig,extrinsic,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Multi-layer Perceptron),0.9845162631196092,0.9845165105165103,0.0018391263871176,0.9752441899629504,0.999654755739686,0.9872986105191374,5.863,0.005,2026-06-03 20-30-54,data/results/stacker_training_features_4signal.csv,0.9825253671149884,9623.0,meta_model_4sig_extrinsic_mlp; sklearn v1.8.0,4sig,extrinsic,strict,data/results/stacker_training_features_4signal.csv
Ablation meta model (Decision Tree),0.988984724098514,0.9889846909846908,0.0017202031918035,0.9891622226045071,0.9925772484032452,0.9908667930380838,0.135,0.002,2026-06-03 20-30-54,data/results/stacker_training_features_4signal.csv,0.994221372783124,9623.0,meta_model_4sig_extrinsic_dt; sklearn v1.8.0,4sig,extrinsic,strict,data/results/stacker_training_features_4signal.csv
