Split,Accuracy,Precision,Recall,F1,ROC_AUC,Inference Time (s),Avg Time / URL (s),Num Samples,saved_at,ensemble_type,data_type,bert_architecture,fusion_mode,Meta Model Name,Meta Model ID,Model Artifact,Evaluation Status,Evaluation Error,Train Accuracy,Train CV Accuracy,Train CV Std,Train Precision,Train Recall,Train F1-Score,Train Time (s),Train Inference Time (s),Train Saved_at,Training dataset name,Train ROC-AUC,Train Num samples in dataset,Train Note,selected_meta_model_dir,selected_stacker_variant
Test,0.986111111,1.0,0.976744186,0.988235294,1.0,0.18,0.0025,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Support Vector Machine,meta_model_4signal_svm_v1,data\ml_models\meta_model_4signal_svm_v1\meta_model.pkl,success,,0.98926221,0.988271992,0.00118761,0.984117981,0.998273878,0.991145387,0.435,0.052,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.987976737,9623.0,,,
Test,0.986111111,1.0,0.976744186,0.988235294,0.9767,0.694,0.00964,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,Calibrated Logistic Regression,meta_model_4signal_v1,data\ml_models\meta_model_4signal_v1\logistic_regression_calibrated.pkl,success,,0.988672971,,,0.983497788,0.997928534,0.990660612,,,4/16/2026 19:03,data/results/stacker_training_features_4signal.csv,0.993282385,9623.0,Derived from richer stacker_training_features.csv,,
Test,1.0,1.0,1.0,1.0,1.0,0.483,0.0067,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_4signal,XGBoost,meta_model_4signal_xgb_v1,data\ml_models\meta_model_4signal_xgb_v1\meta_model.pkl,success,,0.994804295,0.992874043,0.002078907,0.992567181,0.998849252,0.995698308,0.075,0.008,4/19/2026 4:25,data/results/stacker_training_features_4signal.csv,0.998190752,9623.0,,,
Test,1.0,1.0,1.0,1.0,1.0,0.373,0.00517,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,CatBoost Classifier,meta_model_rich_cb_v1,data\ml_models\meta_model_rich_cb_v1\meta_model.pkl,success,,0.993072393,0.993467735,0.002319747,0.990296804,0.998273878,0.994269341,4.453,0.013,4/19/2026 4:22,data/results/stacker_training_features.csv,0.998595867,9623.0,,,
Test,0.972222222,1.0,0.953488372,0.976190476,0.9767,0.219,0.00304,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Decision Tree,meta_model_rich_dt_v1,data\ml_models\meta_model_rich_dt_v1\meta_model.pkl,success,,0.994111534,0.990795569,0.002917564,0.993123209,0.99712313,0.99511915,0.021,0.004,4/19/2026 4:22,data/results/stacker_training_features.csv,0.99187616,9623.0,,,
Test,0.986111111,1.0,0.976744186,0.988235294,1.0,0.213,0.00296,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Gradient Boosting,meta_model_rich_gb_v1,data\ml_models\meta_model_rich_gb_v1\meta_model.pkl,success,,0.995150675,0.993467735,0.00190199,0.993699885,0.998273878,0.99598163,0.727,0.006,4/19/2026 4:22,data/results/stacker_training_features.csv,0.998349743,9623.0,,,
Test,0.986111111,1.0,0.976744186,0.988235294,0.9884,1.723,0.02393,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,K Nearest Neighbors,meta_model_rich_knn_v1,data\ml_models\meta_model_rich_knn_v1\meta_model.pkl,success,,0.98960859,0.989756333,0.002223013,0.985779295,0.99712313,0.991418764,0.02,0.073,4/19/2026 4:22,data/results/stacker_training_features.csv,0.992878933,9623.0,,,
Test,0.986111111,1.0,0.976744186,0.988235294,1.0,0.565,0.00784,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,LightGBM,meta_model_rich_lgbm_v1,data\ml_models\meta_model_rich_lgbm_v1\meta_model.pkl,success,,0.992726013,0.993616543,0.002554067,0.990851915,0.99712313,0.993977631,0.14,0.022,4/19/2026 4:22,data/results/stacker_training_features.csv,0.998552802,9623.0,,,
Test,0.986111111,1.0,0.976744186,0.988235294,1.0,0.295,0.0041,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Logistic Regression,meta_model_rich_lr_v1,data\ml_models\meta_model_rich_lr_v1\meta_model.pkl,success,,0.98926221,0.990201767,0.000867132,0.986324786,0.995972382,0.991125107,0.033,0.003,4/19/2026 4:22,data/results/stacker_training_features.csv,0.994681922,9623.0,,,
Test,0.972222222,1.0,0.953488372,0.976190476,1.0,0.223,0.0031,72,4/22/2026 2:16,,new_data,bert_cv3_f3_h512_l8_a8,stacking_rich,Multi-layer Perceptron,meta_model_rich_mlp_v1,data\ml_models\meta_model_rich_mlp_v1\meta_model.pkl,success,,0.98960859,0.990053399,0.00075766,0.985779295,0.99712313,0.991418764,1.305,0.011,4/19/2026 4:22,data/results/stacker_training_features.csv,0.994986885,9623.0,,,
